,lat,lon,h_li,x_atc,q_flag
189,34.18088806602782,74.99422182905195,3732.7312,3801699.291550211,1.0
190,34.18106826905926,74.99420477142104,3719.279,3801719.340821476,1.0
191,34.18124844439915,74.9941873657184,3706.3706,3801739.3900925904,1.0
192,34.18142848011189,74.99416820771944,3700.2263,3801759.4393635546,1.0
193,34.181608468459004,74.99414846157597,3696.109,3801779.488634369,1.0
194,34.181788521978206,74.99412952506322,3687.8472,3801799.5379050323,1.0
195,34.18196859117877,74.99411078736904,3678.2837,3801819.5871755453,1.0
196,34.18214864568548,74.99409186777541,3669.5203,3801839.6364459083,1.0
197,34.18232867110105,74.9940725875793,3662.2375,3801859.6857161205,1.0
198,34.18250869448072,74.99405327547507,3655.3223,3801879.7349861823,1.0
199,34.182688712387964,74.9940338886843,3649.1719,3801899.7842560955,1.0
200,34.182868705712636,74.994014202963,3644.9243,3801919.8335258574,0.0
201,34.183048701227335,74.99399454358559,3641.187,3801939.8827954694,0.0
202,34.18322870555853,74.9939749986377,3637.9045,3801959.9320649304,0.0
203,34.18340872399444,74.99395562436735,3635.0737,3801979.9813342416,0.0
204,34.18358875835274,74.99393645325176,3632.1724,3802000.030603402,0.0
205,34.183768801255155,74.99391738747585,3629.3308,3802020.0798724126,0.0
206,34.18394884390846,74.99389831980002,3626.8528,3802040.1291412734,0.0
207,34.18412889510396,74.99387935392593,3624.1582,3802060.178409983,0.0
208,34.18430897396296,74.99386074159324,3620.0488,3802080.227678543,0.0
209,34.18448907213958,74.99384237029722,3614.7751,3802100.2769469526,0.0
210,34.18466915361495,74.9938237852005,3609.8904,3802120.3262152113,0.0
211,34.1848492176289,74.9938049840693,3605.7095,3802140.3754833206,0.0
212,34.18502926317623,74.99378595696143,3602.5283,3802160.424751279,0.0
213,34.18520930598079,74.99376688794575,3599.7083,3802180.4740190874,0.0
214,34.18538934907183,74.99374782097146,3597.0696,3802200.523286745,0.0
215,34.18556939994661,74.99372885971911,3594.168,3802220.572554252,0.0
216,34.185749456096744,74.9937099593289,3591.4065,3802240.6218216093,0.0
217,34.185929517376245,74.99369112543476,3588.9797,3802260.6710888166,0.0
218,34.18610958463763,74.99367236744695,3586.6062,3802280.7203558735,0.0
219,34.186289658832294,74.99365369967401,3583.731,3802300.769622781,0.0
220,34.186469731398304,74.9936350008426,3580.6013,3802320.8188895364,0.0
221,34.18664980262717,74.9936162900178,3577.022,3802340.8681561425,0.0
222,34.18682987186451,74.99359756363941,3573.054,3802360.917422598,0.0
223,34.18700993424852,74.99357873805778,3568.969,3802380.966688903,0.0
224,34.18718997047809,74.99355959838596,3565.1482,3802401.0159550584,0.0
225,34.18935149025995,74.99334343113361,3463.2874,3802641.6071371958,1.0
228,34.18989218449957,74.99329331446665,3433.362,3802701.754929348,1.0
229,34.19007281410546,74.99328162866738,3400.3914,3802721.8041930986,1.0
230,34.1902530451904,74.99326490532297,3390.6074,3802741.8534566974,1.0
231,34.190433616640355,74.99325246693923,3362.5027,3802761.9027201473,1.0
232,34.190614104291086,74.99323898247388,3339.6636,3802781.9519834463,1.0
233,34.190794415980186,74.99322328921988,3326.5815,3802802.0012465953,1.0
234,34.190974771240484,74.9932081263874,3310.1582,3802822.0505095934,1.0
235,34.191155188833655,74.99319376939357,3291.7646,3802842.099772441,1.0
236,34.1913355786369,74.99317906838718,3273.5725,3802862.1490351395,1.0
237,34.19151662294833,74.99317255087587,3221.2297,3802882.1982976873,1.0
238,34.191697433097836,74.99316311349904,3181.1309,3802902.2475600843,1.0
239,34.191877812500664,74.99314826315936,3161.8994,3802922.296822331,1.0
240,34.1920579820941,74.99313078654384,3154.7332,3802942.3460844276,1.0
241,34.192238170926295,74.99311355120739,3146.5688,3802962.395346374,1.0
242,34.192418653652915,74.99309999849439,3120.8486,3802982.4446081696,1.0
243,34.19259931876839,74.99308874099358,3086.6523,3803002.493869815,1.0
244,34.19278008515982,74.99307874809028,3046.7642,3803022.5431313105,1.0
245,34.192960676308545,74.99306656158257,3016.6665,3803042.592392655,1.0
246,34.19314116115966,74.99305303553598,2990.955,3803062.641653849,1.0
247,34.19332159679054,74.9930388955068,2969.7192,3803082.6909148935,1.0
248,34.19350177534574,74.99302153271452,2959.683,3803102.7401757874,1.0
249,34.19368177992111,74.99300199136115,2960.206,3803122.7894365313,1.0
250,34.193861604830055,74.99298019162887,2971.433,3803142.8386971233,1.0
251,34.19404143463654,74.99295846174635,2982.0032,3803162.887957567,1.0
252,34.194221269613124,74.99293679510632,2992.8184,3803182.937217859,1.0
253,34.194401030975634,74.99291420932744,3008.661,3803202.986478002,1.0
254,34.19458068938495,74.99289031420994,3029.988,3803223.0357379927,1.0
255,34.19476040944359,74.9928672140208,3049.146,3803243.084997835,1.0
256,34.19494028626763,74.99284607933123,3060.7476,3803263.134257526,1.0
257,34.19512011699318,74.99282434705646,3074.889,3803283.1835170663,1.0
258,34.19530013178566,74.99280493735728,3080.385,3803303.232776457,1.0
